frame,timestamp_sec,active_car,active_bus,active_motorcycle,active_truck,active_track_ids,cum_unique_car,cum_unique_bus,cum_unique_motorcycle,cum_unique_truck,cum_total_unique
1,0.08,0,0,0,0,,0,0,0,0,0
2,0.16,0,0,0,0,,0,0,0,0,0
3,0.24,0,0,0,0,,0,0,0,0,0
4,0.32,0,0,0,0,,0,0,0,0,0
5,0.4,0,0,0,0,,0,0,0,0,0
6,0.48,0,0,0,0,,0,0,0,0,0
7,0.56,0,0,0,0,,0,0,0,0,0
8,0.64,0,0,0,0,,0,0,0,0,0
9,0.72,0,0,0,0,,0,0,0,0,0
10,0.8,0,0,0,0,,0,0,0,0,0
11,0.88,0,0,0,0,,0,0,0,0,0
12,0.96,0,0,0,0,,0,0,0,0,0
13,1.04,0,0,0,0,,0,0,0,0,0
14,1.12,0,0,0,0,,0,0,0,0,0
15,1.2,0,0,0,0,,0,0,0,0,0
16,1.28,0,0,0,0,,0,0,0,0,0
17,1.36,0,0,0,0,,0,0,0,0,0
18,1.44,0,0,0,0,,0,0,0,0,0
19,1.52,0,0,0,0,,0,0,0,0,0
20,1.6,0,0,0,0,,0,0,0,0,0
21,1.68,0,0,0,0,,0,0,0,0,0
22,1.76,0,0,0,0,,0,0,0,0,0
23,1.84,0,0,0,0,,0,0,0,0,0
24,1.92,0,0,0,0,,0,0,0,0,0
25,2.0,0,0,0,0,,0,0,0,0,0
26,2.08,0,0,0,0,,0,0,0,0,0
27,2.16,0,0,0,0,,0,0,0,0,0
28,2.24,0,0,0,0,,0,0,0,0,0
29,2.32,0,0,0,0,,0,0,0,0,0
30,2.4,0,0,0,0,,0,0,0,0,0
31,2.48,0,0,0,0,,0,0,0,0,0
32,2.56,0,0,0,0,,0,0,0,0,0
33,2.64,0,0,0,0,,0,0,0,0,0
34,2.72,0,0,0,0,,0,0,0,0,0
35,2.8,0,0,0,0,,0,0,0,0,0
36,2.88,0,0,0,0,,0,0,0,0,0
37,2.96,0,0,0,0,,0,0,0,0,0
38,3.04,0,0,0,0,,0,0,0,0,0
39,3.12,0,0,0,0,,0,0,0,0,0
40,3.2,0,0,0,0,,0,0,0,0,0
41,3.28,0,0,0,0,,0,0,0,0,0
42,3.36,0,0,0,0,,0,0,0,0,0
43,3.44,0,0,0,0,,0,0,0,0,0
44,3.52,0,0,0,0,,0,0,0,0,0
45,3.6,0,0,0,0,,0,0,0,0,0
46,3.68,0,0,0,0,,0,0,0,0,0
47,3.76,0,0,0,0,,0,0,0,0,0
48,3.84,0,0,0,0,,0,0,0,0,0
49,3.92,0,0,0,0,,0,0,0,0,0
50,4.0,0,0,0,0,,0,0,0,0,0
51,4.08,0,0,0,0,,0,0,0,0,0
52,4.16,0,0,0,0,,0,0,0,0,0
53,4.24,0,0,0,0,,0,0,0,0,0
54,4.32,0,0,0,0,,0,0,0,0,0
55,4.4,0,0,0,0,,0,0,0,0,0
56,4.48,0,0,0,0,,0,0,0,0,0
57,4.56,0,0,0,0,,0,0,0,0,0
58,4.64,0,0,0,0,,0,0,0,0,0
59,4.72,0,0,0,0,,0,0,0,0,0
60,4.8,0,0,0,0,,0,0,0,0,0
61,4.88,0,0,0,0,,0,0,0,0,0
62,4.96,0,0,0,0,,0,0,0,0,0
63,5.04,0,0,0,0,,0,0,0,0,0
64,5.12,0,0,0,0,,0,0,0,0,0
65,5.2,0,0,0,0,,0,0,0,0,0
66,5.28,0,0,0,0,,0,0,0,0,0
67,5.36,1,0,0,0,,0,0,0,0,0
68,5.44,0,0,0,0,,0,0,0,0,0
69,5.52,0,0,0,0,,0,0,0,0,0
70,5.6,0,0,0,0,,0,0,0,0,0
71,5.68,0,0,0,0,,0,0,0,0,0
72,5.76,0,0,0,0,,0,0,0,0,0
73,5.84,0,0,0,0,,0,0,0,0,0
74,5.92,0,0,0,0,,0,0,0,0,0
75,6.0,0,0,0,0,,0,0,0,0,0
76,6.08,0,0,0,0,,0,0,0,0,0
77,6.16,0,0,0,0,,0,0,0,0,0
78,6.24,0,0,0,0,,0,0,0,0,0
79,6.32,0,0,0,0,,0,0,0,0,0
80,6.4,0,0,0,0,,0,0,0,0,0
81,6.48,0,0,0,0,,0,0,0,0,0
82,6.56,0,0,0,0,,0,0,0,0,0
83,6.64,0,0,0,0,,0,0,0,0,0
84,6.72,0,0,0,0,,0,0,0,0,0
85,6.8,0,0,0,0,,0,0,0,0,0
86,6.88,0,0,0,0,,0,0,0,0,0
87,6.96,0,0,0,0,,0,0,0,0,0
88,7.04,0,0,0,0,,0,0,0,0,0
89,7.12,0,0,0,0,,0,0,0,0,0
90,7.2,0,0,0,0,,0,0,0,0,0
91,7.28,0,0,0,0,,0,0,0,0,0
92,7.36,0,0,0,0,,0,0,0,0,0
93,7.44,0,0,0,0,,0,0,0,0,0
94,7.52,0,0,0,0,,0,0,0,0,0
95,7.6,0,0,0,0,,0,0,0,0,0
96,7.68,0,0,0,0,,0,0,0,0,0
97,7.76,0,0,0,0,,0,0,0,0,0
98,7.84,0,0,0,0,,0,0,0,0,0
99,7.92,0,0,0,0,,0,0,0,0,0
100,8.0,0,0,0,0,,0,0,0,0,0
101,8.08,0,0,0,0,,0,0,0,0,0
102,8.16,0,0,0,0,,0,0,0,0,0
103,8.24,0,0,0,0,,0,0,0,0,0
104,8.32,0,0,0,0,,0,0,0,0,0
105,8.4,1,0,0,0,,0,0,0,0,0
106,8.48,0,0,0,0,,0,0,0,0,0
107,8.56,0,0,0,0,,0,0,0,0,0
108,8.64,0,0,0,0,,0,0,0,0,0
109,8.72,0,0,0,0,,0,0,0,0,0
110,8.8,0,0,0,0,,0,0,0,0,0
111,8.88,0,0,0,0,,0,0,0,0,0
112,8.96,0,0,0,0,,0,0,0,0,0
113,9.04,0,0,0,0,,0,0,0,0,0
114,9.12,0,0,0,0,,0,0,0,0,0
115,9.2,0,0,0,0,,0,0,0,0,0
116,9.28,0,0,0,0,,0,0,0,0,0
117,9.36,0,0,0,0,,0,0,0,0,0
118,9.44,0,0,0,0,,0,0,0,0,0
119,9.52,0,0,0,0,,0,0,0,0,0
120,9.6,0,0,0,0,,0,0,0,0,0
121,9.68,0,0,0,0,,0,0,0,0,0
122,9.76,0,0,0,0,,0,0,0,0,0
123,9.84,0,0,0,0,,0,0,0,0,0
124,9.92,0,0,0,0,,0,0,0,0,0
125,10.0,0,0,0,0,,0,0,0,0,0
126,10.08,0,0,0,0,,0,0,0,0,0
127,10.16,0,0,0,0,,0,0,0,0,0
128,10.24,0,0,0,0,,0,0,0,0,0
129,10.32,0,0,0,0,,0,0,0,0,0
130,10.4,0,0,0,0,,0,0,0,0,0
131,10.48,0,0,0,0,,0,0,0,0,0
132,10.56,0,0,0,0,,0,0,0,0,0
133,10.64,0,0,0,0,,0,0,0,0,0
134,10.72,0,0,0,0,,0,0,0,0,0
135,10.8,0,0,0,0,,0,0,0,0,0
136,10.88,0,0,0,0,,0,0,0,0,0
137,10.96,0,0,0,0,,0,0,0,0,0
138,11.04,0,0,0,0,,0,0,0,0,0
139,11.12,0,0,0,0,,0,0,0,0,0
140,11.2,0,0,0,0,,0,0,0,0,0
141,11.28,0,0,0,0,,0,0,0,0,0
142,11.36,0,0,0,0,,0,0,0,0,0
143,11.44,0,0,0,0,,0,0,0,0,0
144,11.52,0,0,0,0,,0,0,0,0,0
145,11.6,0,0,0,0,,0,0,0,0,0
146,11.68,0,0,0,0,,0,0,0,0,0
147,11.76,0,0,0,0,,0,0,0,0,0
148,11.84,0,0,0,0,,0,0,0,0,0
149,11.92,0,0,0,0,,0,0,0,0,0
150,12.0,0,0,0,0,,0,0,0,0,0
151,12.08,0,0,0,0,,0,0,0,0,0
152,12.16,0,0,0,0,,0,0,0,0,0
153,12.24,0,0,0,0,,0,0,0,0,0
154,12.32,0,0,0,0,,0,0,0,0,0
155,12.4,0,0,0,0,,0,0,0,0,0
156,12.48,0,0,0,0,,0,0,0,0,0
157,12.56,0,0,0,0,,0,0,0,0,0
158,12.64,0,0,0,0,,0,0,0,0,0
159,12.72,0,0,0,0,,0,0,0,0,0
160,12.8,0,0,0,0,,0,0,0,0,0
